siteNo,UniquePolyID,Area,UTMCoordinatesOfCentroid
1,DKfoul29a052019_212221,272,32 N 535329 6260933
3,DKflak30a052019_741542,447,32 N 650893 6132758
4,DKkrae10a052019_648751,11664,32 N 642537 6148328
3,DKflak50y052019_982793,802,32 N 649885 6134409
3,DKflak16n052019_348748,193,32 N 652492 6134851
4,DKkrae02a052019_263778,616,32 N 643846 6147987
2,DKhinn24f052019_279182,612,32 N 562429 6235517
5,PTserr414514436,185098,29 N 565636 4429261
3,DKflak40b052019_554385,903,32 N 650432 6133771
3,DKflak04a052019_521687,391,32 N 650879 6134884
3,DKflak06n052019_215793,193,32 N 650907 6134244
3,DKflak15c052019_732856,166,32 N 652040 6134461
1,DKfoul10a052019_863838,1473,32 N 535470 6261032
3,DKflak20a052019_775583,4842,32 N 652399 6133776
5,PTserr750860033,81982,29 N 566252 4434794
2,DKhinn22b052019_586418,357,32 N 560905 6235907
4,DKkrae09i052019_821925,855,32 N 646023 6147079
1,DKfoul17a052019_364335,197,32 N 536682 6261213
5,PTserr433400537,57735,29 N 563140 4433544
6,PTidan480242986,155228,29 N 658819 4414895
4,DKkrae15g052019_386651,132,32 N 642774 6147351
3,DKflak50i052019_354174,193,32 N 650096 6134319
2,DKhinn09c052019_913519,1221,32 N 561080 6237018
3,DKflak06e052019_873533,193,32 N 651547 6134302
2,DKhinn14c052019_845343,124,32 N 559413 6236279
3,DKflak08a052019_116987,193,32 N 650605 6134131
3,DKflak14d052019_483995,177,32 N 652119 6134271
340,DKFlak56,115432,32 N 650493 6134417
3,DKflak16g052019_489912,193,32 N 652392 6134666
5,PTserr758295635,283632,29 N 566948 4434354
3,DKflak16v052019_187562,6320,32 N 652354 6135077
4,DKKran23,347451,32 N 642390 6148064
3,DKflak24a052019_614396,30781,32 N 651862 6132686
6,PTidan789457566,10449,29 N 651971 4410964
2,DKhinn18a052019_376679,1068,32 N 560865 6236057
4,DKkrae09a052019_656145,861,32 N 646187 6146436
2,DKhinn23d052019_111967,980,32 N 562369 6236432
5,PTserr043865716,55684,29 N 569277 4437148
1,DKfoul03c052019_451736,4358,32 N 536282 6260480
4,DKkrae09p052019_785188,214,32 N 645800 6148174
1,DKfoul27a052019_635725,27276,32 N 535566 6261005
6,PTidan676943198,2944,29 N 658104 4413740
6,PTidan687177970,205997,29 N 655654 4413584
4,DKkrae13a052019_643999,473,32 N 644012 6147937
3,DKflak36a052019_685232,9296,32 N 651601 6133706
2,DKhinn05a052019_849577,5399,32 N 561796 6236905
3,DKflak50a052019_988224,193,32 N 649778 6134464
4,DKkrae19a052019_119897,96157,32 N 643727 6147832
3,DKflak50q052019_786624,618,32 N 650455 6134245
5,PTserr736851917,313877,29 N 564220 4436106
3,DKflak06a052019_774254,1107,32 N 651282 6134262
2,DKhinn12a052019_277953,4971,32 N 561183 6236826
3,DKflak06j052019_528277,193,32 N 650757 6134188
5,PTserr522628937,389965,29 N 562110 4429184
3,DKflak07b052019_822336,33,32 N 650380 6133546
2,DKhinn15a052019_298218,3445,32 N 559729 6236319
3,DKflak11a052019_424424,1683,32 N 651928 6133066
3,DKflak13f052019_724665,201,32 N 651998 6134401
340,DKFlak52,143448,32 N 651356 6132855
3,DKflak14h052019_447312,95,32 N 652082 6134317
5,PTserr294352845,63864,29 N 564239 4435536
3,DKflak16c052019_481335,193,32 N 652354 6134613
1,DKfoul06a052019_735654,878,32 N 536448 6260994
3,DKflak16j052019_773799,955,32 N 652464 6134837
6,PTidan177996093,10146,29 N 656828 4413200
