hiveId,beeKeeperID,siteNo,hiveNo,sampCountry,UTMCoordinates,hiveType,subSpecies,observationHive,colonySize
PT_5_6,89D81AA2C010D67185C9217788CBCCF6,5,6,PT,*,Langstroth,Apis mellifera iberiensis,N,
PT_6_20,89D81AA2C010D67185C9217788CBCCF6,6,20,PT,*,Langstroth,Apis mellifera iberiensis,Y,
DK_4_4,ECD273460646B90253E4132B2FD5ABE5,4,4,DK,*,Norwegian,Apis mellifera mellifera x buckfast,N,
PT_6_8,89D81AA2C010D67185C9217788CBCCF6,6,8,PT,*,Langstroth,Apis mellifera iberiensis,N,
PT_6_12,89D81AA2C010D67185C9217788CBCCF6,6,12,PT,*,Langstroth,Apis mellifera iberiensis,N,
PT_6_4,89D81AA2C010D67185C9217788CBCCF6,6,4,PT,*,Langstroth,Apis mellifera iberiensis,N,
PT_5_3,89D81AA2C010D67185C9217788CBCCF6,5,3,PT,*,Langstroth,Apis mellifera iberiensis,N,
DK_2_2,5BC8557A401F84B44F1BF03B71F3CF7C,2,2,DK,*,Norwegian,Apis mellifera mellifera x buckfast,N,
PT_6_2,89D81AA2C010D67185C9217788CBCCF6,6,2,PT,*,Langstroth,Apis mellifera iberiensis,N,
DK_4_8,ECD273460646B90253E4132B2FD5ABE5,4,8,DK,*,Norwegian,Apis mellifera mellifera x buckfast,Y,
DK_4_12,ECD273460646B90253E4132B2FD5ABE5,4,12,DK,*,Norwegian,Apis mellifera mellifera x buckfast,N,
PT_5_12,89D81AA2C010D67185C9217788CBCCF6,5,12,PT,*,Langstroth,Apis mellifera iberiensis,N,
DK_3_6,ECD273460646B90253E4132B2FD5ABE5,3,6,DK,*,Norwegian,Apis mellifera mellifera x buckfast,N,
PT_6_16,89D81AA2C010D67185C9217788CBCCF6,6,16,PT,*,Langstroth,Apis mellifera iberiensis,N,
DK_2_10,5BC8557A401F84B44F1BF03B71F3CF7C,2,10,DK,*,Norwegian,Apis mellifera mellifera x buckfast,N,
PT_6_1,89D81AA2C010D67185C9217788CBCCF6,6,1,PT,*,Langstroth,Apis mellifera iberiensis,N,
DK_4_2,ECD273460646B90253E4132B2FD5ABE5,4,2,DK,*,Norwegian,Apis mellifera mellifera x buckfast,N,
PT_5_7,89D81AA2C010D67185C9217788CBCCF6,5,7,PT,*,Langstroth,Apis mellifera iberiensis,N,
DK_1_6,5BC8557A401F84B44F1BF03B71F3CF7C,1,6,DK,*,Norwegian,Apis mellifera mellifera x buckfast,N,
PT_5_8,89D81AA2C010D67185C9217788CBCCF6,5,8,PT,*,Langstroth,Apis mellifera iberiensis,N,
DK_4_6,ECD273460646B90253E4132B2FD5ABE5,4,6,DK,*,Norwegian,Apis mellifera mellifera x buckfast,N,
PT_6_5,89D81AA2C010D67185C9217788CBCCF6,6,5,PT,*,Langstroth,Apis mellifera iberiensis,N,
DK_2_4,5BC8557A401F84B44F1BF03B71F3CF7C,2,4,DK,*,Norwegian,Apis mellifera mellifera x buckfast,N,
PT_5_20,89D81AA2C010D67185C9217788CBCCF6,5,20,PT,*,Langstroth,Apis mellifera iberiensis,Y,
DK_4_10,ECD273460646B90253E4132B2FD5ABE5,4,10,DK,*,Norwegian,Apis mellifera mellifera x buckfast,N,
DK_340_11,ECD273460646B90253E4132B2FD5ABE5,340,11,DK,*,Norwegian,Apis mellifera mellifera x buckfast,N,
