resId,siteNo,fieldNo,polygonId,UTMCoordinates,sampY,sampM,sampD,sampMatCode,plantType,vegetativeType,flowering,abundanceClass,pollen,nectar,anMetText
RPUL6186,6,,PTidan768830261,29 N 656960 4413880,2020,5,16,Andryala integrifolia,Wild plant,Herb,Y,1,N,N,Visual
RPUL4888,6,,PTidan521462398,29 N 658140 4414456,2020,4,18,Vicia lutea,Wild plant,Herb,Y,1,N,N,Visual
RPUL3214,6,,PTidan192562202,29 N 656924 4413348,2019,3,27,Diplotaxis catholica,Wild plant,Herb,Y,1,N,N,Visual
RPUL3678,6,,PTidan917115965,29 N 657222 4413499,2019,5,18,Retama sphaerocarpa,Wild plant,Shrub,Y,1,N,N,Visual
RPUL4750,6,,PTidan841787236,29 N 656231 4413014,2020,3,14,Brassica barrelieri or Diplotaxis catholica,Wild plant,Herb,Y,1,N,N,Visual
RPUL2327,5,,PTserr986899582,29 N 563451 4433989,2019,7,17,Cirsium vulgare,Wild plant,Herb,Y,1,N,N,Visual
RPUL5915,6,,PTidan183800180,29 N 656888 4412292,2020,5,16,Pulicaria arabica subsp. hispanica,Wild plant,Herb,Y,1,N,N,Visual
RPUL1303,5,,PTserr994536353,29 N 564968 4433016,2019,5,22,Erica umbellata,Wild plant,Sub-shrub,Y,1,N,N,Visual
RPUL6465,6,,PTidan531959834,29 N 657925 4413542,2020,9,15,Asteraceae (yellow),Wild plant,Herb,Y,1,N,N,Visual
RPUL1934,5,,PTserr947813812,29 N 563902 4433929,2019,8,30,Ulex minor,Wild plant,Shrub,Y,1,N,N,Visual
RPUL3982,6,,PTidan638043104,29 N 658113 4413663,2019,5,2,Carduus tenuiflorus,Wild plant,Herb,Y,1,N,N,Visual
RPUL4118,5,,PTserr947813812,29 N 563902 4433929,2019,4,16,Genista tridentata,Wild plant,Shrub,Y,1,N,N,Visual
RPUL2070,6,,PTidan724226191,29 N 658741 4415107,2019,7,15,Daucus carota,Wild plant,Herb,Y,1,N,N,Visual
RPUL4959,5,,PTserr320471337,29 N 565705 4433554,2020,5,17,Digitalis purpurea,Wild plant,Herb,Y,1,N,N,Visual
RPUL1049,5,,PTserr532247761,29 N 567096 4432591,2019,6,9,Anthemis arvensis,Wild plant,Herb,Y,1,N,N,Visual
RPUL5144,5,,PTserr149990259,29 N 563942 4434993,2020,5,17,Glandora prostrata,Wild plant,Sub-shrub,Y,1,N,N,Visual
RPUL2910,6,,PTidan166558632,29 N 658694 4415091,2019,4,13,Galactites tomentosa,Wild plant,Herb,Y,1,N,N,Visual
RPUL6032,6,,PTidan496569979,29 N 656909 4413269,2020,5,16,Trifolium resupinatum,Wild plant,Herb,Y,1,N,N,Visual
RPUL860,5,,PTserr627435591,29 N 565352 4433549,2019,6,8,Erica cinerea,Wild plant,Sub-shrub,Y,1,N,N,Visual
RPUL5598,5,,PTserr149990259,29 N 563722 4433885,2020,4,19,Glandora prostrata,Wild plant,Sub-shrub,Y,1,N,N,Visual
RPUL3097,5,,PTserr781753778,29 N 564418 4432400,2019,3,4,Cytisus striatus,Wild plant,Shrub,Y,1,N,N,Visual
RPUL3550,5,,PTserr947813812,29 N 564326 4434687,2019,5,4,Pedicularis sylvatica,Wild plant,Herb,Y,1,N,N,Visual
RPUL662,5,,PTserr149990259,29 N 563942 4434993,2019,6,8,Jasione montana,Wild plant,Herb,Y,1,N,N,Visual
RPUL3480,5,,PTserr947813812,29 N 564094 4433914,2019,5,4,Pedicularis sylvatica,Wild plant,Herb,Y,1,N,N,Visual
