eventId,beeKeeperID,siteNo,hiveNo,eventY,eventM,eventD,eventType,inoutType,inoutQuantity,inoutUnit,inoutUnit_desc,clinicalSigns,eventDescription
CM1338,5BC8557A401F84B44F1BF03B71F3CF7C,2,7,2020,7,9,OUTPUT,Foundation comb,0.128,G167A,Kilogram,No clinical signs,burr comb removed
CM745,5BC8557A401F84B44F1BF03B71F3CF7C,1,6,2019,8,20,INPUT,Sucrose,6.25,G167A,Kilogram,No clinical signs,sucrose added-ApiInvert
CM789,5BC8557A401F84B44F1BF03B71F3CF7C,2,2,2019,7,29,OTHER,,,,.,No clinical signs,329 dead bees in front of hive
CM931,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,1,2020,6,19,OUTPUT,Super + 10 frames,5,G167A,Kilogram,No clinical signs,
CM676,5BC8557A401F84B44F1BF03B71F3CF7C,1,2,2019,9,9,CLINICAL SIGNS,,,,.,Black shiny honey bees,some bees shiny
CM1275,5BC8557A401F84B44F1BF03B71F3CF7C,2,5,2020,4,23,INPUT,Super + 10 frames,4.9,G167A,Kilogram,No clinical signs,super added + frames no. 21-30
CM1671,5BC8557A401F84B44F1BF03B71F3CF7C,1,7,2020,8,13,OTHER,,,,.,No clinical signs,452 dead bees in front of hive
CM1121,89D81AA2C010D67185C9217788CBCCF6,5,4,2020,8,12,INPUT,Amitraz,2,G133A,Piece,No clinical signs,Apply Apivar treatment- stripes
CM1688,5BC8557A401F84B44F1BF03B71F3CF7C,1,8,2020,7,8,SAMPLE,,,,.,No clinical signs,brood sample for pestanalysis
CM1092,89D81AA2C010D67185C9217788CBCCF6,5,9,2020,5,2,INPUT,Foundation comb,0.44,G167A,Kilogram,No clinical signs,1 frame of foundation added
CM927,EAC7A9C9E5F667F3D1071B4DFBA72CF8,4,2,2020,6,22,SAMPLE,,,,.,No clinical signs,Only sample with nectar (no new pollen in the family)
CM1279,5BC8557A401F84B44F1BF03B71F3CF7C,2,5,2020,6,3,CLINICAL SIGNS,,,,.,Phoretic varroa,no varrora in bottom tray
CM1048,89D81AA2C010D67185C9217788CBCCF6,5,10,2020,3,26,INPUT,Super + 10 frames,8,G167A,Kilogram,No clinical signs,9 frame honey supper with wax comb
