observationId,dancerId,siteNo,hiveNo,sampY,sampM,sampD,sampT,waggleDuration,waggleLength,waggleOrientation,waggleDirection,pollenColor,pollenAbundance
1565,44767,6,20,2019,3,9,12,1.941,,-1.117013333,3.802901506,,
1190,48213,1,8,2019,7,11,12,0.99,,1.665349057,0.317243844,,
1012,47972,2,8,2019,5,15,14,2.5,,0.660878225,2.816737413,,
1627,77265,6,20,2019,4,2,13,2.826,,-1.169373333,4.186397552,,
1755,63372,6,20,2019,6,7,12,1.178,,-4.1888,6.719512463,,
948,53693,2,8,2019,5,14,14,1.65,,0.191050041,3.258211374,,
1254,65789,1,8,2019,7,11,13,1.25,,-1.509064251,4.452520847,,
820,46842,1,8,2018,4,29,15,1.32,,1.421696658,2.526823521,,
1595,48695,6,20,2019,3,9,13,1.351,,-2.530733333,5.521188736,,
852,41147,1,8,2019,4,30,11,1.65,,-0.001792312,2.556450605,,
1659,86279,6,20,2019,5,2,12,0.609,,-4.799666667,7.482904911,,
1723,81839,6,20,2019,5,20,12,1.328,,-3.909546667,6.356063366,,
916,18399,1,8,2019,4,30,13,1.11,,1.231317604,2.648843288,,
1787,12131,6,20,2019,8,4,12,2.117500067,,0.10346336,2.833106041,,
786,71734,1,8,2019,4,26,15,1.96,,1.211897464,2.485846519,,
1222,53435,1,8,2019,7,11,12,1.3,,1.577654449,0.533279479,,
980,31677,2,8,2019,5,15,13,1.95,,0.034934083,2.987090111,,
1286,67263,1,8,2019,7,11,13,1.39,,-0.862127171,3.76061511,,
1111,53513,1,8,2019,7,11,12,1.1,,2.168554793,0.036166653,,
1579,46571,6,20,2019,3,9,13,2.083,,-0.244346667,3.33271122,,
836,34634,1,8,2018,4,29,15,1.34,,-0.060442013,3.820403337,,
1611,93449,6,20,2019,4,2,12,1.467,,-5.672333333,8.57923317,,
1127,22865,1,8,2019,7,11,12,1.32,,-1.577863152,4.13452673,,
1643,65273,6,20,2019,5,2,12,0.409,,-4.50296,7.221650124,,
868,17429,1,8,2019,4,30,11,1.73,,3.123478735,-0.693758428,,
1675,16842,6,20,2019,5,2,12,0.6,,-3.124146667,5.772887707,,
1707,29885,6,20,2019,5,20,12,0.96,,-4.03172,6.754073143,,
900,86527,1,8,2019,4,30,12,1.49,,-2.840968291,5.496148109,,
1739,27431,6,20,2019,5,20,13,1.743,,-4.049173333,6.944425583,,
1159,86158,1,8,2019,7,11,12,1.4,,2.037969547,0.0729644,,
1771,35872,6,20,2019,7,16,12,0.507499993,,5.91644438,-2.996594429,,
932,82161,1,8,2019,4,30,13,1.37,,-1.585485676,5.321602345,,
1174,72714,1,8,2019,7,11,12,1.19,,1.100011293,0.923199356,,
1095,47514,1,8,2019,7,11,12,1.2,,2.276157357,-0.062765002,,
1206,53217,1,8,2019,7,11,12,1.52,,1.710971612,0.369673699,,
964,73564,2,8,2019,5,15,13,1.83,,0.024223936,3.330921412,,
1238,13134,1,8,2019,7,11,12,1.51,,1.771560316,0.283465177,,
802,76232,1,8,2019,4,26,15,1.2,,1.049274417,2.525113821,,
1270,48497,1,8,2019,7,11,13,1.23,,2.859913359,-0.063615635,,
996,54735,2,8,2019,5,15,13,1.93,,-0.005925215,3.091877699,,
1549,29975,6,20,2019,3,9,12,1.736,,-1.745333333,4.639289856,,
1063,65726,1,8,2019,7,10,14,0.35,,3.052997257,0.198702484,,
1571,34732,6,20,2019,3,9,12,1.374,,-3.577933333,6.297426224,,
828,18599,1,8,2018,4,29,15,2.02,,-0.546895063,4.58493185,,
1587,16475,6,20,2019,3,9,13,4.503,,-3.50812,6.553532124,,
1119,19746,1,8,2019,7,11,12,1.13,,-1.569505291,4.060482979,,
1603,66472,6,20,2019,4,2,12,1.642,,-5.829413333,8.678975105,,
844,23646,1,8,2018,4,29,15,0.71,,-3.1266948,6.93360424,,
1619,47776,6,20,2019,4,2,13,1.66,,-5.986493333,9.040763855,,
1071,69582,1,8,2019,7,10,14,2.78,,-2.198717883,5.442702293,,
1635,62417,6,20,2019,4,2,13,1.66,,-6.17848,9.13640976,,
860,92535,1,8,2019,4,30,11,1.5,,-0.010670283,2.491179228,,
1651,14385,6,20,2019,5,2,12,0.879,,-4.03172,6.833494186,,
1135,57582,1,8,2019,7,11,12,2.65,,-0.50306715,3.208653212,,
1667,43299,6,20,2019,5,2,12,1.01,,-5.061466667,7.50302124,,
876,32241,1,8,2019,4,30,11,1.3,,-0.065901413,2.39010334,,
1683,63587,6,20,2019,5,2,13,0.523,,-5.375626667,8.458303452,,
1699,66465,6,20,2019,5,2,13,1.377,,-5.166186667,8.025687218,,
892,88368,1,8,2019,4,30,12,1.85,,-2.179079749,5.185236931,,
1715,49699,6,20,2019,5,20,12,1.423,,-6.213386667,8.831493378,,
1151,61142,1,8,2019,7,11,12,2.15,,-3.135136411,5.553091049,,
1731,67188,6,20,2019,5,20,13,1.488,,-5.934133333,9.016386032,,
908,22328,1,8,2019,4,30,12,0.8,,-0.216806497,2.954024553,,
1747,54411,6,20,2019,5,20,13,0.685,,-4.24116,7.323412418,,
1087,83426,1,8,2019,7,11,12,1.18,,1.846104523,0.478626102,,
1763,84169,6,20,2019,6,7,13,2.918,,-1.082106667,4.140182018,,
924,82352,1,8,2019,4,30,13,2.49,,-0.306534486,4.146982193,,
1779,94521,6,20,2019,8,4,12,0.460000008,,3.061314667,-0.157285601,,
1167,24974,1,8,2019,7,11,12,0.99,,1.865067683,0.147802815,,
1795,37658,6,20,2019,8,4,12,2.127500057,,0.189263947,2.780222416,,
940,26131,2,8,2019,5,14,14,1.119,,0.460485035,2.753452063,,
1182,37138,1,8,2019,7,11,12,0.83,,1.558407781,0.447639763,,
1055,98425,1,8,2019,7,10,14,1.2,,0.596058104,2.67104435,,
1198,77177,1,8,2019,7,11,12,1.31,,2.157625071,-0.165059745,,
956,36263,2,8,2019,5,15,13,1.2,,1.008948928,2.269185066,,
1214,87199,1,8,2019,7,11,12,1.42,,1.637267955,0.439668268,,
794,84213,1,8,2019,4,26,15,0.65,,1.519224589,2.140107155,,
1230,99658,1,8,2019,7,11,12,2.1,,2.834057331,-0.786208034,,
972,73333,2,8,2019,5,15,13,1.9,,0.521058084,2.868609428,,
1246,67544,1,8,2019,7,11,12,1.31,,-1.532887777,3.587913275,,
1103,53682,1,8,2019,7,11,12,1.17,,2.141234782,0.00919013,,
1262,76361,1,8,2019,7,11,13,2.13,,3.039816254,0.010516766,,
988,21518,2,8,2019,5,15,13,2.5,,-0.025778043,3.069059849,,
1278,52371,1,8,2019,7,11,13,1.05,,3.042946023,-0.188765302,,
