resId,sampUnitIds,sampId,sampCountry,sampY,sampM,sampD,sampEventInfo,sampSize,sampSizeUnit,sampSizeUnit_desc,sampMatCode,sampMatText,analysisY,analysisM,analysisD,anPortSeq,labId,labAccred,labAccred_desc,paramCode,paramCode_desc,paramText,anMethRefId,anMethCode,anMethCode_desc,anMethText,resUnit,resUnit_desc,resLOD,resLOQ,resVal,resValRec,resValRecCorr,exprResType,exprResType_desc,resQualValue,resType,resType_desc,resValUncert,resValUncertSD
Nos1a,sampHoldingId=Flakkebjerg$herdId=5,No1a,DK,2019,4,25,com=sampT 13:09,60,G199A,animal,A16XE#F01.A04TJ,Adult bees,2020,1,15,1,AU_DK,L003A,None,RF-00011951-PAR,Nosema ceranae,,Microscopic detection,F536A,Microscopic detection,Microscopic detection,G295A,Log10 of count,,,6.1,,,,.,,VAL,Numerical Value,,
Nos1b,sampHoldingId=Flakkebjerg$herdId=5,No1b,DK,2019,4,25,com=sampT 13:09,60,G199A,animal,A16XE#F01.A04TJ,Adult bees,2020,1,15,1,AU_DK,L003A,None,RF-00011951-PAR,Nosema ceranae,,PCR,F086A,PCR,Species identification,,.,,,,,,,.,POS,BIN,Qualitative Value (Binary),,
Var1,sampHoldingId=Flakkebjerg$herdId=1,Va1,DK,2019,4,25,com=sampT 07:59,1,G296A,Colony,A16XE#F01.A04TJ,Adult bees,2019,4,25,1,AU_DK,L003A,None,RF-00011963-PAR,Varroa,,Mite down-fall,F701A,Mite fall,Mite down-fall in 24h,G291A,number per 100 adult bees,,,,,,,.,,LOD,Non Detected Value ( less than LOD),,
Var2,sampHoldingId=Flakkebjerg$herdId=2,Va2,DK,2019,4,25,com=sampT 07:59,1,G296A,Colony,A16XE#F01.A04TJ,Adult bees,2019,4,25,1,AU_DK,L003A,None,RF-00011963-PAR,Varroa,,Mite down-fall,F701A,Mite fall,Mite down-fall in 24h,G291A,number per 100 adult bees,,,,,,,.,,LOD,Non Detected Value ( less than LOD),,
Var3,sampHoldingId=Flakkebjerg$herdId=3,Va3,DK,2019,4,25,com=sampT 07:59,1,G296A,Colony,A16XE#F01.A04TJ,Adult bees,2019,4,25,1,AU_DK,L003A,None,RF-00011963-PAR,Varroa,,Mite down-fall,F701A,Mite fall,Mite down-fall in 24h,G291A,number per 100 adult bees,,,,,,,.,,LOD,Non Detected Value ( less than LOD),,
Var4,sampHoldingId=Flakkebjerg$herdId=4,Va4,DK,2019,4,25,com=sampT 07:59,1,G296A,Colony,A16XE#F01.A04TJ,Adult bees,2019,4,25,1,AU_DK,L003A,None,RF-00011963-PAR,Varroa,,Mite down-fall,F701A,Mite fall,Mite down-fall in 24h,G291A,number per 100 adult bees,,,,,,,.,,LOD,Non Detected Value ( less than LOD),,
Var5,sampHoldingId=Flakkebjerg$herdId=5,Va5,DK,2019,4,25,com=sampT 07:59,1,G296A,Colony,A16XE#F01.A04TJ,Adult bees,2019,4,25,1,AU_DK,L003A,None,RF-00011963-PAR,Varroa,,Mite down-fall,F701A,Mite fall,Mite down-fall in 24h,G291A,number per 100 adult bees,,,,,,,.,,LOD,Non Detected Value ( less than LOD),,
Vir1,sampHoldingId=Flakkebjerg$herdId=3,Vi1,DK,2019,4,25,com=sampT 08:43,20,G155A,Milligram,A16XE#F01.A04TJ,Adult bees,2019,7,31,1,AU_DK,L003A,None,RF-00011952-PAR,Acute bee paralysis virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,1.3,,,,.,,VAL,Numerical Value,,
Vir2,sampHoldingId=Flakkebjerg$herdId=3,Vi2,DK,2019,4,25,com=sampT 08:43,20,G155A,Milligram,A16XE#F01.A04TJ,Adult bees,2019,7,31,1,AU_DK,L003A,None,RF-00011954-PAR,Deformed wing virus - type A,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,1.2,,,,.,,VAL,Numerical Value,,
Vir3,sampHoldingId=Flakkebjerg$herdId=3,Vi3,DK,2019,4,25,com=sampT 08:43,20,G155A,Milligram,A16XE#F01.A04TJ,Adult bees,2019,7,31,1,AU_DK,L003A,None,RF-00011955-PAR,Deformed wing virus - type B,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,4.3,,,,.,,VAL,Numerical Value,,
Vir4,sampHoldingId=Flakkebjerg$herdId=3,Vi4,DK,2019,4,25,com=sampT 08:43,20,G155A,Milligram,A16XE#F01.A04TJ,Adult bees,2019,7,31,1,AU_DK,L003A,None,RF-00011956-PAR,Sacbrood virus,,QPCR for (R/D)NA quantification,F087A,Quantitative polymerase chain reaction (QPCR),QPCR for (R/D)NA quantification,G295A,Log10 of count,0,0,8.9,,,,.,,VAL,Numerical Value,,
