Latitude (decimal degrees):	56.273
Longitude (decimal degrees):	9.987
Elevation (m):	86
Radiation database:	PVGIS-SARAH


Slope: 35 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20150101:0011,0.0,0.0,3.9,4.83,0.0
20150101:0111,0.0,0.0,4.0,5.08,0.0
20150101:0211,0.0,0.0,4.09,5.33,0.0
20150101:0311,0.0,0.0,4.18,5.59,0.0
20150101:0411,0.0,0.0,4.4,5.84,0.0
20150101:0511,0.0,0.0,4.62,6.09,0.0
20150101:0611,0.0,0.0,4.83,6.34,0.0
20150101:0711,0.0,0.0,5.1,6.69,0.0
20150101:0811,0.0,0.95,5.38,7.03,1.0
20150101:0911,21.32,5.93,5.65,7.37,0.0
20150101:1011,17.62,9.25,6.13,7.26,0.0
20150101:1111,23.18,10.68,6.61,7.14,0.0
20150101:1211,19.47,10.07,7.09,7.03,0.0
20150101:1311,28.74,7.5,6.94,6.71,0.0
20150101:1411,2.78,3.16,6.78,6.38,0.0
20150101:1511,0.0,0.0,6.63,6.06,0.0
20150101:1611,0.0,0.0,6.29,6.64,0.0
20150101:1711,0.0,0.0,5.96,7.23,0.0
20150101:1811,0.0,0.0,5.62,7.82,0.0
20150101:1911,0.0,0.0,5.5,8.21,0.0
20150101:2011,0.0,0.0,5.37,8.59,0.0
20150101:2111,0.0,0.0,5.24,8.98,0.0
20150101:2211,0.0,0.0,5.61,9.4,0.0
20150101:2311,0.0,0.0,5.97,9.82,0.0
20150102:0011,0.0,0.0,6.34,10.23,0.0
20150102:0111,0.0,0.0,6.85,10.58,0.0
20150102:0211,0.0,0.0,7.36,10.93,0.0
20150102:0311,0.0,0.0,7.88,11.28,0.0
20150102:0411,0.0,0.0,7.76,11.24,0.0
20150102:0511,0.0,0.0,7.64,11.2,0.0
20150102:0611,0.0,0.0,7.52,11.16,0.0
20150102:0711,0.0,0.0,6.64,11.16,0.0
20150102:0811,0.0,0.98,5.77,11.16,1.0
20150102:0911,345.41,5.98,4.89,11.16,0.0
20150102:1011,12.05,9.32,4.87,10.75,0.0
20150102:1111,348.25,10.76,4.86,10.35,0.0
20150102:1211,298.4,10.17,4.84,9.94,0.0
20150102:1311,9.27,7.61,4.48,9.9,0.0
20150102:1411,5.56,3.27,4.12,9.86,0.0
20150102:1511,0.0,0.0,3.76,9.82,0.0
20150102:1611,0.0,0.0,3.56,10.11,0.0
20150102:1711,0.0,0.0,3.36,10.41,0.0
20150102:1811,0.0,0.0,3.16,10.7,0.0
20150102:1911,0.0,0.0,2.99,10.31,0.0
20150102:2011,0.0,0.0,2.82,9.92,0.0
20150102:2111,0.0,0.0,2.65,9.53,0.0
20150102:2211,0.0,0.0,2.75,9.66,0.0
20150102:2311,0.0,0.0,2.85,9.8,0.0
20150103:0011,0.0,0.0,2.94,9.93,0.0
20150103:0111,0.0,0.0,2.9,9.56,0.0
20150103:0211,0.0,0.0,2.86,9.19,0.0
20150103:0311,0.0,0.0,2.83,8.81,0.0
20150103:0411,0.0,0.0,2.89,8.34,0.0
20150103:0511,0.0,0.0,2.96,7.87,0.0
20150103:0611,0.0,0.0,3.03,7.39,0.0
20150103:0711,0.0,0.0,3.03,7.09,0.0
20150103:0811,0.0,1.02,3.02,6.79,1.0
20150103:0911,248.26,6.03,3.02,6.48,0.0
20150103:1011,282.74,9.39,3.33,6.45,0.0
20150103:1111,469.95,10.85,3.63,6.41,0.0
20150103:1211,541.44,10.28,3.94,6.37,0.0
20150103:1311,397.58,7.72,3.42,6.39,0.0
20150103:1411,45.57,3.4,2.89,6.4,0.0
20150103:1511,0.0,0.0,2.37,6.41,0.0
20150103:1611,0.0,0.0,2.03,6.44,0.0
20150103:1711,0.0,0.0,1.68,6.46,0.0
20150103:1811,0.0,0.0,1.34,6.48,0.0
20150103:1911,0.0,0.0,1.29,6.42,0.0
20150103:2011,0.0,0.0,1.23,6.35,0.0
20150103:2111,0.0,0.0,1.17,6.29,0.0
20150103:2211,0.0,0.0,1.06,6.36,0.0
20150103:2311,0.0,0.0,0.95,6.44,0.0
20150104:0011,0.0,0.0,0.84,6.51,0.0
20150104:0111,0.0,0.0,0.78,6.47,0.0
20150104:0211,0.0,0.0,0.72,6.44,0.0
20150104:0311,0.0,0.0,0.65,6.4,0.0
20150104:0411,0.0,0.0,0.64,6.46,0.0
20150104:0511,0.0,0.0,0.63,6.52,0.0
20150104:0611,0.0,0.0,0.62,6.58,0.0
20150104:0711,0.0,0.0,0.81,6.55,0.0
20150104:0811,0.0,1.07,1.0,6.51,1.0
20150104:0911,287.52,6.1,1.19,6.48,0.0
20150104:1011,256.73,9.48,1.89,6.26,0.0
20150104:1111,521.03,10.95,2.59,6.04,0.0
20150104:1211,438.38,10.39,3.29,5.82,0.0
20150104:1311,332.35,7.85,2.98,5.45,0.0
20150104:1411,45.7,3.53,2.67,5.08,0.0
20150104:1511,0.0,0.0,2.36,4.7,0.0
20150104:1611,0.0,0.0,2.17,5.19,0.0
20150104:1711,0.0,0.0,1.97,5.67,0.0
20150104:1811,0.0,0.0,1.78,6.15,0.0
20150104:1911,0.0,0.0,2.13,5.67,0.0
20150104:2011,0.0,0.0,2.48,5.19,0.0
20150104:2111,0.0,0.0,2.83,4.7,0.0
20150104:2211,0.0,0.0,3.1,4.95,0.0
20150104:2311,0.0,0.0,3.37,5.2,0.0
20150105:0011,0.0,0.0,3.64,5.45,0.0
20150105:0111,0.0,0.0,3.68,5.38,0.0
20150105:0211,0.0,0.0,3.71,5.31,0.0
20150105:0311,0.0,0.0,3.74,5.24,0.0
20150105:0411,0.0,0.0,3.66,4.05,0.0
20150105:0511,0.0,0.0,3.57,2.85,0.0
20150105:0611,0.0,0.0,3.48,1.66,0.0
20150105:0711,0.0,0.0,3.28,1.63,0.0
20150105:0811,0.0,1.13,3.07,1.6,1.0
20150105:0911,244.66,6.17,2.87,1.57,0.0
20150105:1011,23.18,9.56,3.53,1.57,0.0
20150105:1111,19.47,11.05,4.18,1.57,0.0
20150105:1211,18.54,10.51,4.84,1.57,0.0
20150105:1311,32.45,7.98,4.2,1.63,0.0
20150105:1411,6.49,3.67,3.55,1.68,0.0
20150105:1511,0.0,0.0,2.9,1.74,0.0
20150105:1611,0.0,0.0,2.81,1.85,0.0
20150105:1711,0.0,0.0,2.72,1.96,0.0
20150105:1811,0.0,0.0,2.63,2.07,0.0
20150105:1911,0.0,0.0,2.68,1.94,0.0
20150105:2011,0.0,0.0,2.73,1.8,0.0
20150105:2111,0.0,0.0,2.77,1.67,0.0
20150105:2211,0.0,0.0,2.82,1.87,0.0
20150105:2311,0.0,0.0,2.87,2.07,0.0
20150106:0011,0.0,0.0,2.91,2.28,0.0
20150106:0111,0.0,0.0,2.58,2.61,0.0
20150106:0211,0.0,0.0,2.25,2.95,0.0
20150106:0311,0.0,0.0,1.91,3.28,0.0
20150106:0411,0.0,0.0,2.11,3.52,0.0
20150106:0511,0.0,0.0,2.3,3.76,0.0
20150106:0611,0.0,0.0,2.49,4.0,0.0
20150106:0711,0.0,0.0,2.65,4.34,0.0
20150106:0811,0.0,1.2,2.82,4.69,1.0
20150106:0911,7.42,6.25,2.98,5.03,0.0
20150106:1011,15.76,9.66,3.22,5.14,0.0
20150106:1111,34.3,11.16,3.45,5.25,0.0
20150106:1211,22.25,10.63,3.69,5.35,0.0
20150106:1311,17.62,8.11,3.29,5.7,0.0
20150106:1411,3.71,3.81,2.89,6.04,0.0
20150106:1511,0.0,0.0,2.49,6.39,0.0
20150106:1611,0.0,0.0,2.1,6.26,0.0
20150106:1711,0.0,0.0,1.7,6.14,0.0
20150106:1811,0.0,0.0,1.31,6.01,0.0
20150106:1911,0.0,0.0,1.11,5.95,0.0
