Latitude (decimal degrees): 56.273
Longitude (decimal degrees): 9.987
Elevation (m): 86.0
month,year
1,2013
2,2010
3,2014
4,2014
5,2013
6,2016
7,2011
8,2012
9,2012
10,2011
11,2014
12,2011
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130101:0000,4.74,95.2,0.0,-0.0,0.0,325.62,4.46,235.0,98196.0
20130101:0100,4.59,95.29,0.0,-0.0,0.0,326.85,4.39,241.0,98219.0
20130101:0200,4.43,95.37,0.0,-0.0,0.0,328.08,4.31,247.0,98242.0
20130101:0300,4.28,95.46,0.0,-0.0,0.0,329.31,4.24,249.0,98272.0
20130101:0400,4.13,95.55,0.0,-0.0,0.0,330.54,4.17,251.0,98302.0
20130101:0500,3.98,95.63,0.0,-0.0,0.0,331.77,4.1,253.0,98331.0
20130101:0600,3.83,95.72,0.0,-0.0,0.0,333.0,4.02,252.0,98391.0
20130101:0700,3.67,95.8,0.0,-0.0,0.0,334.23,3.95,251.0,98450.0
20130101:0800,3.28,92.34,0.0,0.0,0.0,317.9,3.46,250.0,98509.0
20130101:0900,3.62,91.7,78.0,484.28,28.0,316.18,3.67,248.0,98539.0
20130101:1000,3.95,91.07,135.0,584.56,41.0,314.47,3.88,246.0,98569.0
20130101:1100,4.29,90.43,155.0,534.42,56.0,312.75,4.08,244.0,98599.0
20130101:1200,3.85,90.74,146.0,548.84,50.0,300.58,4.11,244.0,98632.0
20130101:1300,3.4,91.05,32.0,0.0,32.0,288.42,4.13,245.0,98665.0
20130101:1400,2.95,91.36,32.0,326.97,14.0,276.25,4.15,245.0,98698.0
20130101:1500,2.52,91.35,0.0,-0.0,0.0,273.17,4.23,245.0,98740.0
20130101:1600,2.1,91.34,0.0,-0.0,0.0,270.08,4.32,245.0,98783.0
20130101:1700,1.67,91.33,0.0,-0.0,0.0,267.0,4.4,245.0,98826.0
20130101:1800,1.59,90.72,0.0,-0.0,0.0,264.92,4.3,241.0,98859.0
20130101:1900,1.51,90.11,0.0,-0.0,0.0,262.83,4.21,237.0,98892.0
20130101:2000,1.42,89.5,0.0,-0.0,0.0,260.75,4.11,234.0,98925.0
20130101:2100,1.36,89.69,0.0,-0.0,0.0,261.68,3.98,240.0,98965.0
20130101:2200,1.29,89.89,0.0,-0.0,0.0,262.62,3.85,246.0,99004.0
20130101:2300,1.22,90.08,0.0,-0.0,0.0,263.55,3.72,252.0,99044.0
20130102:0000,1.04,91.45,0.0,-0.0,0.0,267.22,3.68,265.0,99120.0
